budget,method,scope,facility,geometry,n_seeds,recall_n_defined,recall_mean,recall_std,precision_n_defined,precision_mean,precision_std,f1_n_defined,f1_mean,f1_std,auroc_n_defined,auroc_mean,auroc_std,margin_auroc_n_defined,margin_auroc_mean,margin_auroc_std,false_positive_rate_n_defined,false_positive_rate_mean,false_positive_rate_std
0.05,P1_minus_B3,unseen,__all__,wide_new,5,5,0.004166666666666666,0.017430417219459912,5,-0.0011111111111111072,0.06925620746628242,5,0.007175552021629483,0.027618088983782835,5,0.0,0.0,5,-0.011197916666666696,0.008295779913519534,5,3.4694469519536144e-19,0.007365695637359869
0.05,P1_minus_B3,unseen,harsh,__all__,5,5,0.005000000000000002,0.004564354645876386,5,-0.027962723550958857,0.05225698750172588,5,0.0067198766827143985,0.006298946680546723,5,0.0,0.0,5,-0.001986111111111111,0.0013965500509301573,5,0.003333333333333333,0.004564354645876384
0.05,P1_minus_B3,unseen,harsh,horizontal_new,5,5,0.0,0.0,1,,,5,0.0,0.0,5,0.0,0.0,5,-0.01527777777777779,0.01092164304691083,5,0.0,0.0
0.05,P1_minus_B3,unseen,harsh,low_new,5,5,0.008333333333333331,0.018633899812498245,5,0.008333333333333326,0.01863389981249823,5,0.010227272727272729,0.02286887704261149,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0
0.05,P1_minus_B3,unseen,harsh,two_new,5,5,0.0,0.0,5,-0.0638095238095238,0.09194299722778795,5,-0.004120980984162292,0.0056518593496028184,5,0.0,0.0,5,0.0,0.0,5,0.008333333333333333,0.01141088661469096
0.05,P1_minus_B3,unseen,harsh,vertical_new,5,5,0.0,0.0,2,,,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0
0.05,P1_minus_B3,unseen,harsh,wide_new,5,5,0.01666666666666667,0.022821773229381923,5,-0.030952380952380953,0.06933437989790972,5,0.01950844854070661,0.03235349787121692,5,0.0,0.0,5,0.0,0.0,5,0.008333333333333333,0.01141088661469096
0.05,P1_minus_B3,unseen,standard,__all__,5,5,-0.006666666666666666,0.014907119849998596,1,,,5,-0.011800373134328357,0.02638643648822046,5,0.0,0.0,5,-0.008812500000000011,0.010500111376907843,5,-0.011666666666666667,0.0034860834438919823
0.05,P1_minus_B3,unseen,standard,horizontal_new,5,5,-0.01666666666666667,0.0372677996249965,1,,,5,-0.02747252747252747,0.06143043894230191,5,0.0,0.0,5,0.037673611111111074,0.030311177503923925,5,0.0,0.0
0.05,P1_minus_B3,unseen,standard,low_new,5,5,-0.008333333333333333,0.018633899812498248,1,,,5,-0.014814814814814814,0.03312693299999688,5,0.0,0.0,5,0.011111111111111117,0.010441954259510786,5,-0.029166666666666667,0.01141088661469096
0.05,P1_minus_B3,unseen,standard,two_new,5,5,0.0,0.0,0,,,5,0.0,0.0,5,0.0,0.0,5,0.009548611111111115,0.010215800604114441,5,-0.020833333333333332,0.01473139127471974
0.05,P1_minus_B3,unseen,standard,vertical_new,5,5,0.0,0.0,1,,,5,0.0,0.0,5,0.0,0.0,5,-0.05468749999999998,0.03920690899526464,5,0.0,0.0
0.05,P1_minus_B3,unseen,standard,wide_new,5,5,-0.008333333333333333,0.018633899812498248,1,,,5,-0.013793103448275862,0.030842316931031583,5,0.0,0.0,5,-0.03385416666666665,0.024993368140430516,5,-0.008333333333333331,0.01141088661469096
0.1,P1_minus_B3,all,__all__,__all__,5,5,-2.7755575615628915e-18,0.004871949722361897,5,0.009502036272834224,0.026935289412036538,5,0.00011534078842940221,0.005985839012551914,5,0.0,0.0,5,-0.000958251953125,0.0027678656388712276,5,-0.002083333333333334,0.008811939747754495
0.1,P1_minus_B3,seen,__all__,__all__,5,5,-0.0013888888888888868,0.015835769793043585,5,-0.0009551879975574718,0.033398783330863505,5,-0.0019483576589471585,0.022212622791858174,5,0.0,0.0,5,-0.004909336419753063,0.0059566943904524345,5,-0.0020833333333333285,0.006307604904369776
0.1,P1_minus_B3,seen,__all__,central_furniture,5,5,0.004166666666666668,0.009316949906249128,5,0.06568627450980391,0.07074465240501354,5,0.010101510689745985,0.014862665823631755,5,0.0,0.0,5,-0.009027777777777768,0.009006207119198398,5,-0.014583333333333328,0.01397542485937368
0.1,P1_minus_B3,seen,__all__,clear,5,5,-0.008333333333333331,0.018633899812498245,5,-0.007012588943623432,0.03118403289481034,5,-0.008817056946634294,0.020703004567463924,5,0.0,0.0,5,0.0015625000000000222,0.002172307943792072,5,-2.7755575615628915e-18,0.012757759076995728
0.1,P1_minus_B3,seen,__all__,vertical_mid,5,5,-4.163336342344337e-18,0.02551551815399143,4,,,5,-0.002841747980103404,0.045481644536404804,5,0.0,0.0,5,0.006206597222222232,0.011732405880837089,5,0.008333333333333333,0.004658474953124562
0.1,P1_minus_B3,seen,harsh,__all__,5,5,0.019444444444444438,0.023240556292613204,5,-0.021341325613823525,0.02662230384895067,5,0.01359950130170956,0.02673893845124645,5,0.0,0.0,5,-0.0011381172839506127,0.0009311356779434963,5,0.019444444444444448,0.007607257743127316
0.1,P1_minus_B3,seen,harsh,central_furniture,5,5,0.025000000000000005,0.037267799624996496,5,-0.0533547008547009,0.059677750517143933,5,0.012344318723629056,0.038333401673704394,5,0.0,0.0,5,0.0,0.0,5,0.029166666666666667,0.011410886614690963
0.1,P1_minus_B3,seen,harsh,clear,5,5,0.016666666666666663,0.03726779962499649,5,-0.00235294117647058,0.03136182414721489,5,0.009629394995248664,0.03350127760943519,5,0.0,0.0,5,-0.0029513888888889283,0.00264721366006539,5,0.012499999999999994,0.018633899812498245
0.1,P1_minus_B3,seen,harsh,vertical_mid,5,5,0.01666666666666667,0.022821773229381927,4,,,5,0.0221677559912854,0.03309669553029985,5,0.0,0.0,5,-0.000694444444444442,0.001131805973125445,5,0.016666666666666666,0.009316949906249124
0.1,P1_minus_B3,seen,standard,__all__,5,5,-0.02222222222222222,0.03042903097250923,5,0.013412698412698409,0.10261155891603851,5,-0.03169188577493359,0.04698475123347934,5,0.0,0.0,5,-0.01994598765432103,0.019132190091445032,5,-0.02361111111111111,0.014400306495366473
0.1,P1_minus_B3,seen,standard,central_furniture,5,5,-0.016666666666666666,0.037267799624996496,3,,,5,-0.025,0.055901699437494755,5,0.0,0.0,5,-0.034375,0.029632370433492445,5,-0.058333333333333334,0.030900827029565266
0.1,P1_minus_B3,seen,standard,clear,5,5,-0.03333333333333334,0.04564354645876384,5,-0.02404761904761905,0.08131222543095934,5,-0.038824056504322156,0.05661262235543446,5,0.0,0.0,5,0.0043402777777777676,0.0042080554317850075,5,-0.0125,0.018633899812498248
0.1,P1_minus_B3,seen,standard,vertical_mid,5,5,-0.016666666666666666,0.037267799624996496,1,,,5,-0.03076923076923077,0.06880209161537815,5,0.0,0.0,5,-0.039930555555555525,0.041797573585081564,5,0.0,0.0
